Rank,Country,2023 Population,Yearly Change,Net Change,Density per sqkm,Land Area sqkm,Medium Age,Percent Urban Population,World Share
41,Ukraine,36744634,-7.45,-2957105,63,579320,45,82,0.46
42,Angola,36684202,3.08,1095215,29,1246700,16,68,0.46
43,Uzbekistan,35163944,1.55,536292,83,425400,27,49,0.44
44,Yemen,34449825,2.24,753211,65,527970,19,37,0.43
45,Peru,34352719,0.89,303131,27,1280000,29,79,0.43
46,Malaysia,34308525,1.09,370304,104,328550,31,78,0.43
47,Ghana,34121985,1.93,646115,150,227540,21,57,0.42
48,Mozambique,33897354,2.81,927836,43,786380,17,40,0.42
49,Nepal,30896590,1.14,349010,216,143350,24,22,0.38
50,Madagascar,30325732,2.41,714018,52,581795,19,40,0.38